state,type,commodity,date,production
Malaysia,energy,coal,2016-01-01,2414765
Malaysia,energy,coal,2017-01-01,2988212
Malaysia,energy,coal,2018-01-01,2652813
Malaysia,energy,coal,2019-01-01,3459122
Malaysia,energy,coal,2020-01-01,2978248
Malaysia,energy,coal,2021-01-01,2978248
Malaysia,metallic,bauxite,2016-01-01,342924
Malaysia,metallic,bauxite,2017-01-01,189131
Malaysia,metallic,bauxite,2018-01-01,589684
Malaysia,metallic,bauxite,2019-01-01,900561
Malaysia,metallic,bauxite,2020-01-01,594714
Malaysia,metallic,bauxite,2021-01-01,47577
Malaysia,metallic,gold,2016-01-01,2248990
Malaysia,metallic,gold,2017-01-01,2124203
Malaysia,metallic,gold,2018-01-01,2978482
Malaysia,metallic,gold,2019-01-01,3150935
Malaysia,metallic,gold,2020-01-01,1715976
Malaysia,metallic,gold,2021-01-01,1781191
Malaysia,metallic,ilmenite,2016-01-01,4316
Malaysia,metallic,ilmenite,2017-01-01,6363
Malaysia,metallic,ilmenite,2018-01-01,14158
Malaysia,metallic,ilmenite,2019-01-01,2334
Malaysia,metallic,ilmenite,2020-01-01,2548
Malaysia,metallic,ilmenite,2021-01-01,4598
Malaysia,metallic,iron_ore,2016-01-01,1914492
Malaysia,metallic,iron_ore,2017-01-01,3919632
Malaysia,metallic,iron_ore,2018-01-01,3353634
Malaysia,metallic,iron_ore,2019-01-01,4160462
Malaysia,metallic,iron_ore,2020-01-01,5371411
Malaysia,metallic,iron_ore,2021-01-01,4874485
Malaysia,metallic,manganese,2016-01-01,700717
Malaysia,metallic,manganese,2017-01-01,1226106
Malaysia,metallic,manganese,2018-01-01,1262725
Malaysia,metallic,manganese,2019-01-01,1130749
Malaysia,metallic,manganese,2020-01-01,869864
Malaysia,metallic,manganese,2021-01-01,668558
Malaysia,metallic,monazite,2016-01-01,1875
Malaysia,metallic,monazite,2017-01-01,302
Malaysia,metallic,monazite,2018-01-01,86
Malaysia,metallic,monazite,2019-01-01,54
Malaysia,metallic,monazite,2020-01-01,18
Malaysia,metallic,monazite,2021-01-01,23
Malaysia,metallic,rutile,2016-01-01,3810
Malaysia,metallic,rutile,2017-01-01,5266
Malaysia,metallic,rutile,2018-01-01,5070
Malaysia,metallic,rutile,2019-01-01,5947
Malaysia,metallic,rutile,2020-01-01,5136
Malaysia,metallic,rutile,2021-01-01,11513
Malaysia,metallic,silver,2016-01-01,1075325
Malaysia,metallic,silver,2017-01-01,1404399
Malaysia,metallic,silver,2018-01-01,1541689
Malaysia,metallic,silver,2019-01-01,686293
Malaysia,metallic,silver,2020-01-01,422506
Malaysia,metallic,silver,2021-01-01,672417
Malaysia,metallic,struverite,2016-01-01,77
Malaysia,metallic,struverite,2017-01-01,61
Malaysia,metallic,struverite,2018-01-01,274
Malaysia,metallic,struverite,2019-01-01,12
Malaysia,metallic,struverite,2020-01-01,9
Malaysia,metallic,struverite,2021-01-01,0
Malaysia,metallic,tin_ore,2016-01-01,4158
Malaysia,metallic,tin_ore,2017-01-01,3895
Malaysia,metallic,tin_ore,2018-01-01,3868
Malaysia,metallic,tin_ore,2019-01-01,652
Malaysia,metallic,tin_ore,2020-01-01,423
Malaysia,metallic,tin_ore,2021-01-01,3192
Malaysia,metallic,xenotime,2016-01-01,4
Malaysia,metallic,xenotime,2017-01-01,0
Malaysia,metallic,xenotime,2018-01-01,1568
Malaysia,metallic,xenotime,2019-01-01,60
Malaysia,metallic,xenotime,2020-01-01,3
Malaysia,metallic,xenotime,2021-01-01,23
Malaysia,metallic,zircon,2016-01-01,653
Malaysia,metallic,zircon,2017-01-01,1595
Malaysia,metallic,zircon,2018-01-01,509
Malaysia,metallic,zircon,2019-01-01,449
Malaysia,metallic,zircon,2020-01-01,157
Malaysia,metallic,zircon,2021-01-01,1518
Malaysia,non_metallic,aggregates,2016-01-01,133072882
Malaysia,non_metallic,aggregates,2017-01-01,146143665
Malaysia,non_metallic,aggregates,2018-01-01,132124505
Malaysia,non_metallic,aggregates,2019-01-01,128622003
Malaysia,non_metallic,aggregates,2020-01-01,108084837
Malaysia,non_metallic,aggregates,2021-01-01,109519816
Malaysia,non_metallic,clay,2016-01-01,5794833
Malaysia,non_metallic,clay,2017-01-01,4776554
Malaysia,non_metallic,clay,2018-01-01,8326475
Malaysia,non_metallic,clay,2019-01-01,9150675
Malaysia,non_metallic,clay,2020-01-01,6198358
Malaysia,non_metallic,clay,2021-01-01,6632913
Malaysia,non_metallic,earth_materials,2016-01-01,25490877
Malaysia,non_metallic,earth_materials,2017-01-01,33987816
Malaysia,non_metallic,earth_materials,2018-01-01,29357421
Malaysia,non_metallic,earth_materials,2019-01-01,24368490
Malaysia,non_metallic,earth_materials,2020-01-01,19167095
Malaysia,non_metallic,earth_materials,2021-01-01,16699648
Malaysia,non_metallic,feldspar,2016-01-01,441856
Malaysia,non_metallic,feldspar,2017-01-01,411204
Malaysia,non_metallic,feldspar,2018-01-01,414441
Malaysia,non_metallic,feldspar,2019-01-01,241189
Malaysia,non_metallic,feldspar,2020-01-01,144487
Malaysia,non_metallic,feldspar,2021-01-01,168570
Malaysia,non_metallic,kaolin,2016-01-01,392932
Malaysia,non_metallic,kaolin,2017-01-01,444559
Malaysia,non_metallic,kaolin,2018-01-01,496219
Malaysia,non_metallic,kaolin,2019-01-01,400722
Malaysia,non_metallic,kaolin,2020-01-01,336565
Malaysia,non_metallic,kaolin,2021-01-01,228605
Malaysia,non_metallic,limestone,2016-01-01,25431150
Malaysia,non_metallic,limestone,2017-01-01,42577053
Malaysia,non_metallic,limestone,2018-01-01,44946159
Malaysia,non_metallic,limestone,2019-01-01,44228283
Malaysia,non_metallic,limestone,2020-01-01,22377940
Malaysia,non_metallic,limestone,2021-01-01,19978936
Malaysia,non_metallic,mica,2016-01-01,4701
Malaysia,non_metallic,mica,2017-01-01,4787
Malaysia,non_metallic,mica,2018-01-01,5165
Malaysia,non_metallic,mica,2019-01-01,4358
Malaysia,non_metallic,mica,2020-01-01,4083
Malaysia,non_metallic,mica,2021-01-01,3406
Malaysia,non_metallic,sand_and_gravel,2016-01-01,44944336
Malaysia,non_metallic,sand_and_gravel,2017-01-01,36702382
Malaysia,non_metallic,sand_and_gravel,2018-01-01,44919129
Malaysia,non_metallic,sand_and_gravel,2019-01-01,69424689
Malaysia,non_metallic,sand_and_gravel,2020-01-01,35681476
Malaysia,non_metallic,sand_and_gravel,2021-01-01,35556500
Malaysia,non_metallic,silica,2016-01-01,5408814
Malaysia,non_metallic,silica,2017-01-01,2633943
Malaysia,non_metallic,silica,2018-01-01,4063970
Malaysia,non_metallic,silica,2019-01-01,4704505
Malaysia,non_metallic,silica,2020-01-01,5172409
Malaysia,non_metallic,silica,2021-01-01,6913353
Johor,energy,coal,2016-01-01,0
Johor,energy,coal,2017-01-01,0
Johor,energy,coal,2018-01-01,0
Johor,energy,coal,2019-01-01,0
Johor,energy,coal,2020-01-01,0
Johor,energy,coal,2021-01-01,0
Johor,metallic,bauxite,2016-01-01,342924
Johor,metallic,bauxite,2017-01-01,189131
Johor,metallic,bauxite,2018-01-01,589684
Johor,metallic,bauxite,2019-01-01,900561
Johor,metallic,bauxite,2020-01-01,134714
Johor,metallic,bauxite,2021-01-01,0
Johor,metallic,gold,2016-01-01,0
Johor,metallic,gold,2017-01-01,0
Johor,metallic,gold,2018-01-01,0
Johor,metallic,gold,2019-01-01,0
Johor,metallic,gold,2020-01-01,0
Johor,metallic,gold,2021-01-01,0
Johor,metallic,ilmenite,2016-01-01,0
Johor,metallic,ilmenite,2017-01-01,0
Johor,metallic,ilmenite,2018-01-01,0
Johor,metallic,ilmenite,2019-01-01,0
Johor,metallic,ilmenite,2020-01-01,0
Johor,metallic,ilmenite,2021-01-01,0
Johor,metallic,iron_ore,2016-01-01,195895
Johor,metallic,iron_ore,2017-01-01,1212009
Johor,metallic,iron_ore,2018-01-01,904137
Johor,metallic,iron_ore,2019-01-01,668672
Johor,metallic,iron_ore,2020-01-01,683632
Johor,metallic,iron_ore,2021-01-01,468990
Johor,metallic,manganese,2016-01-01,478638
Johor,metallic,manganese,2017-01-01,0
Johor,metallic,manganese,2018-01-01,0
Johor,metallic,manganese,2019-01-01,0
Johor,metallic,manganese,2020-01-01,0
Johor,metallic,manganese,2021-01-01,0
Johor,metallic,monazite,2016-01-01,0
Johor,metallic,monazite,2017-01-01,0
Johor,metallic,monazite,2018-01-01,0
Johor,metallic,monazite,2019-01-01,0
Johor,metallic,monazite,2020-01-01,0
Johor,metallic,monazite,2021-01-01,0
Johor,metallic,rutile,2016-01-01,0
Johor,metallic,rutile,2017-01-01,0
Johor,metallic,rutile,2018-01-01,0
Johor,metallic,rutile,2019-01-01,0
Johor,metallic,rutile,2020-01-01,0
Johor,metallic,rutile,2021-01-01,0
Johor,metallic,silver,2016-01-01,0
Johor,metallic,silver,2017-01-01,0
Johor,metallic,silver,2018-01-01,0
Johor,metallic,silver,2019-01-01,0
Johor,metallic,silver,2020-01-01,0
Johor,metallic,silver,2021-01-01,0
Johor,metallic,struverite,2016-01-01,0
Johor,metallic,struverite,2017-01-01,0
Johor,metallic,struverite,2018-01-01,0
Johor,metallic,struverite,2019-01-01,0
Johor,metallic,struverite,2020-01-01,0
Johor,metallic,struverite,2021-01-01,0
Johor,metallic,tin_ore,2016-01-01,218
Johor,metallic,tin_ore,2017-01-01,101
Johor,metallic,tin_ore,2018-01-01,45
Johor,metallic,tin_ore,2019-01-01,50
Johor,metallic,tin_ore,2020-01-01,26
Johor,metallic,tin_ore,2021-01-01,0
Johor,metallic,xenotime,2016-01-01,0
Johor,metallic,xenotime,2017-01-01,0
Johor,metallic,xenotime,2018-01-01,0
Johor,metallic,xenotime,2019-01-01,0
Johor,metallic,xenotime,2020-01-01,0
Johor,metallic,xenotime,2021-01-01,0
Johor,metallic,zircon,2016-01-01,0
Johor,metallic,zircon,2017-01-01,0
Johor,metallic,zircon,2018-01-01,0
Johor,metallic,zircon,2019-01-01,0
Johor,metallic,zircon,2020-01-01,0
Johor,metallic,zircon,2021-01-01,0
Johor,non_metallic,aggregates,2016-01-01,35817482
Johor,non_metallic,aggregates,2017-01-01,46941061
Johor,non_metallic,aggregates,2018-01-01,24629425
Johor,non_metallic,aggregates,2019-01-01,23397954
Johor,non_metallic,aggregates,2020-01-01,23035610
Johor,non_metallic,aggregates,2021-01-01,21210433
Johor,non_metallic,clay,2016-01-01,1588847
Johor,non_metallic,clay,2017-01-01,1175834
Johor,non_metallic,clay,2018-01-01,4820145
Johor,non_metallic,clay,2019-01-01,4579138
Johor,non_metallic,clay,2020-01-01,3586281
Johor,non_metallic,clay,2021-01-01,3656216
Johor,non_metallic,earth_materials,2016-01-01,3745902
Johor,non_metallic,earth_materials,2017-01-01,4094744
Johor,non_metallic,earth_materials,2018-01-01,2241876
Johor,non_metallic,earth_materials,2019-01-01,2129782
Johor,non_metallic,earth_materials,2020-01-01,2236271
Johor,non_metallic,earth_materials,2021-01-01,2348084
Johor,non_metallic,feldspar,2016-01-01,0
Johor,non_metallic,feldspar,2017-01-01,0
Johor,non_metallic,feldspar,2018-01-01,0
Johor,non_metallic,feldspar,2019-01-01,0
Johor,non_metallic,feldspar,2020-01-01,0
Johor,non_metallic,feldspar,2021-01-01,0
Johor,non_metallic,kaolin,2016-01-01,118213
Johor,non_metallic,kaolin,2017-01-01,115979
Johor,non_metallic,kaolin,2018-01-01,94699
Johor,non_metallic,kaolin,2019-01-01,89964
Johor,non_metallic,kaolin,2020-01-01,0
Johor,non_metallic,kaolin,2021-01-01,0
Johor,non_metallic,limestone,2016-01-01,0
Johor,non_metallic,limestone,2017-01-01,0
Johor,non_metallic,limestone,2018-01-01,0
Johor,non_metallic,limestone,2019-01-01,0
Johor,non_metallic,limestone,2020-01-01,0
Johor,non_metallic,limestone,2021-01-01,0
Johor,non_metallic,mica,2016-01-01,0
Johor,non_metallic,mica,2017-01-01,0
Johor,non_metallic,mica,2018-01-01,0
Johor,non_metallic,mica,2019-01-01,0
Johor,non_metallic,mica,2020-01-01,0
Johor,non_metallic,mica,2021-01-01,0
Johor,non_metallic,sand_and_gravel,2016-01-01,4376955
Johor,non_metallic,sand_and_gravel,2017-01-01,4468981
Johor,non_metallic,sand_and_gravel,2018-01-01,4614851
Johor,non_metallic,sand_and_gravel,2019-01-01,4384108
Johor,non_metallic,sand_and_gravel,2020-01-01,2841110
Johor,non_metallic,sand_and_gravel,2021-01-01,1202015
Johor,non_metallic,silica,2016-01-01,2134033
Johor,non_metallic,silica,2017-01-01,513338
Johor,non_metallic,silica,2018-01-01,386550
Johor,non_metallic,silica,2019-01-01,2095144
Johor,non_metallic,silica,2020-01-01,583154
Johor,non_metallic,silica,2021-01-01,442010
Kedah,energy,coal,2016-01-01,0
Kedah,energy,coal,2017-01-01,0
Kedah,energy,coal,2018-01-01,0
Kedah,energy,coal,2019-01-01,0
Kedah,energy,coal,2020-01-01,0
Kedah,energy,coal,2021-01-01,0
Kedah,metallic,bauxite,2016-01-01,0
Kedah,metallic,bauxite,2017-01-01,0
Kedah,metallic,bauxite,2018-01-01,0
Kedah,metallic,bauxite,2019-01-01,0
Kedah,metallic,bauxite,2020-01-01,0
Kedah,metallic,bauxite,2021-01-01,0
Kedah,metallic,gold,2016-01-01,0
Kedah,metallic,gold,2017-01-01,0
Kedah,metallic,gold,2018-01-01,0
Kedah,metallic,gold,2019-01-01,0
Kedah,metallic,gold,2020-01-01,0
Kedah,metallic,gold,2021-01-01,0
Kedah,metallic,ilmenite,2016-01-01,0
Kedah,metallic,ilmenite,2017-01-01,0
Kedah,metallic,ilmenite,2018-01-01,0
Kedah,metallic,ilmenite,2019-01-01,0
Kedah,metallic,ilmenite,2020-01-01,0
Kedah,metallic,ilmenite,2021-01-01,0
Kedah,metallic,iron_ore,2016-01-01,43600
Kedah,metallic,iron_ore,2017-01-01,56147
Kedah,metallic,iron_ore,2018-01-01,5493
Kedah,metallic,iron_ore,2019-01-01,30547
Kedah,metallic,iron_ore,2020-01-01,117247
Kedah,metallic,iron_ore,2021-01-01,64000
Kedah,metallic,manganese,2016-01-01,0
Kedah,metallic,manganese,2017-01-01,0
Kedah,metallic,manganese,2018-01-01,0
Kedah,metallic,manganese,2019-01-01,0
Kedah,metallic,manganese,2020-01-01,0
Kedah,metallic,manganese,2021-01-01,0
Kedah,metallic,monazite,2016-01-01,0
Kedah,metallic,monazite,2017-01-01,0
Kedah,metallic,monazite,2018-01-01,0
Kedah,metallic,monazite,2019-01-01,0
Kedah,metallic,monazite,2020-01-01,0
Kedah,metallic,monazite,2021-01-01,0
Kedah,metallic,rutile,2016-01-01,0
Kedah,metallic,rutile,2017-01-01,0
Kedah,metallic,rutile,2018-01-01,0
Kedah,metallic,rutile,2019-01-01,0
Kedah,metallic,rutile,2020-01-01,0
Kedah,metallic,rutile,2021-01-01,0
Kedah,metallic,silver,2016-01-01,0
Kedah,metallic,silver,2017-01-01,0
Kedah,metallic,silver,2018-01-01,0
Kedah,metallic,silver,2019-01-01,0
Kedah,metallic,silver,2020-01-01,0
Kedah,metallic,silver,2021-01-01,0
Kedah,metallic,struverite,2016-01-01,0
Kedah,metallic,struverite,2017-01-01,0
Kedah,metallic,struverite,2018-01-01,0
Kedah,metallic,struverite,2019-01-01,0
Kedah,metallic,struverite,2020-01-01,0
Kedah,metallic,struverite,2021-01-01,0
Kedah,metallic,tin_ore,2016-01-01,12
Kedah,metallic,tin_ore,2017-01-01,2
Kedah,metallic,tin_ore,2018-01-01,0
Kedah,metallic,tin_ore,2019-01-01,19
Kedah,metallic,tin_ore,2020-01-01,21
Kedah,metallic,tin_ore,2021-01-01,22
Kedah,metallic,xenotime,2016-01-01,0
Kedah,metallic,xenotime,2017-01-01,0
Kedah,metallic,xenotime,2018-01-01,0
Kedah,metallic,xenotime,2019-01-01,0
Kedah,metallic,xenotime,2020-01-01,0
Kedah,metallic,xenotime,2021-01-01,0
Kedah,metallic,zircon,2016-01-01,0
Kedah,metallic,zircon,2017-01-01,0
Kedah,metallic,zircon,2018-01-01,0
Kedah,metallic,zircon,2019-01-01,0
Kedah,metallic,zircon,2020-01-01,0
Kedah,metallic,zircon,2021-01-01,0
Kedah,non_metallic,aggregates,2016-01-01,4864792
Kedah,non_metallic,aggregates,2017-01-01,4763710
Kedah,non_metallic,aggregates,2018-01-01,4930995
Kedah,non_metallic,aggregates,2019-01-01,4339176
Kedah,non_metallic,aggregates,2020-01-01,3721817
Kedah,non_metallic,aggregates,2021-01-01,3196697
Kedah,non_metallic,clay,2016-01-01,556177
Kedah,non_metallic,clay,2017-01-01,394294
Kedah,non_metallic,clay,2018-01-01,468375
Kedah,non_metallic,clay,2019-01-01,491449
Kedah,non_metallic,clay,2020-01-01,10183
Kedah,non_metallic,clay,2021-01-01,47482
Kedah,non_metallic,earth_materials,2016-01-01,1220845
Kedah,non_metallic,earth_materials,2017-01-01,972892
Kedah,non_metallic,earth_materials,2018-01-01,1027714
Kedah,non_metallic,earth_materials,2019-01-01,1003611
Kedah,non_metallic,earth_materials,2020-01-01,1425302
Kedah,non_metallic,earth_materials,2021-01-01,2080336
Kedah,non_metallic,feldspar,2016-01-01,0
Kedah,non_metallic,feldspar,2017-01-01,0
Kedah,non_metallic,feldspar,2018-01-01,0
Kedah,non_metallic,feldspar,2019-01-01,0
Kedah,non_metallic,feldspar,2020-01-01,0
Kedah,non_metallic,feldspar,2021-01-01,0
Kedah,non_metallic,kaolin,2016-01-01,0
Kedah,non_metallic,kaolin,2017-01-01,0
Kedah,non_metallic,kaolin,2018-01-01,0
Kedah,non_metallic,kaolin,2019-01-01,0
Kedah,non_metallic,kaolin,2020-01-01,0
Kedah,non_metallic,kaolin,2021-01-01,0
Kedah,non_metallic,limestone,2016-01-01,3945658
Kedah,non_metallic,limestone,2017-01-01,3613060
Kedah,non_metallic,limestone,2018-01-01,3664221
Kedah,non_metallic,limestone,2019-01-01,3633546
Kedah,non_metallic,limestone,2020-01-01,1497237
Kedah,non_metallic,limestone,2021-01-01,2432483
Kedah,non_metallic,mica,2016-01-01,0
Kedah,non_metallic,mica,2017-01-01,0
Kedah,non_metallic,mica,2018-01-01,0
Kedah,non_metallic,mica,2019-01-01,0
Kedah,non_metallic,mica,2020-01-01,0
Kedah,non_metallic,mica,2021-01-01,0
Kedah,non_metallic,sand_and_gravel,2016-01-01,972218
Kedah,non_metallic,sand_and_gravel,2017-01-01,976309
Kedah,non_metallic,sand_and_gravel,2018-01-01,994149
Kedah,non_metallic,sand_and_gravel,2019-01-01,1139097
Kedah,non_metallic,sand_and_gravel,2020-01-01,1924618
Kedah,non_metallic,sand_and_gravel,2021-01-01,1092132
Kedah,non_metallic,silica,2016-01-01,0
Kedah,non_metallic,silica,2017-01-01,5000
Kedah,non_metallic,silica,2018-01-01,14508
Kedah,non_metallic,silica,2019-01-01,20917
Kedah,non_metallic,silica,2020-01-01,17644
Kedah,non_metallic,silica,2021-01-01,0
Kelantan,energy,coal,2016-01-01,0
Kelantan,energy,coal,2017-01-01,0
Kelantan,energy,coal,2018-01-01,0
Kelantan,energy,coal,2019-01-01,0
Kelantan,energy,coal,2020-01-01,0
Kelantan,energy,coal,2021-01-01,0
Kelantan,metallic,bauxite,2016-01-01,0
Kelantan,metallic,bauxite,2017-01-01,0
Kelantan,metallic,bauxite,2018-01-01,0
Kelantan,metallic,bauxite,2019-01-01,0
Kelantan,metallic,bauxite,2020-01-01,0
Kelantan,metallic,bauxite,2021-01-01,0
Kelantan,metallic,gold,2016-01-01,1006661
Kelantan,metallic,gold,2017-01-01,570807
Kelantan,metallic,gold,2018-01-01,1291913
Kelantan,metallic,gold,2019-01-01,1083768
Kelantan,metallic,gold,2020-01-01,588454
Kelantan,metallic,gold,2021-01-01,800400
Kelantan,metallic,ilmenite,2016-01-01,0
Kelantan,metallic,ilmenite,2017-01-01,0
Kelantan,metallic,ilmenite,2018-01-01,0
Kelantan,metallic,ilmenite,2019-01-01,0
Kelantan,metallic,ilmenite,2020-01-01,0
Kelantan,metallic,ilmenite,2021-01-01,0
Kelantan,metallic,iron_ore,2016-01-01,83180
Kelantan,metallic,iron_ore,2017-01-01,77350
Kelantan,metallic,iron_ore,2018-01-01,96650
Kelantan,metallic,iron_ore,2019-01-01,32347
Kelantan,metallic,iron_ore,2020-01-01,126287
Kelantan,metallic,iron_ore,2021-01-01,162370
Kelantan,metallic,manganese,2016-01-01,0
Kelantan,metallic,manganese,2017-01-01,922555
Kelantan,metallic,manganese,2018-01-01,1061125
Kelantan,metallic,manganese,2019-01-01,776451
Kelantan,metallic,manganese,2020-01-01,612831
Kelantan,metallic,manganese,2021-01-01,643343
Kelantan,metallic,monazite,2016-01-01,0
Kelantan,metallic,monazite,2017-01-01,0
Kelantan,metallic,monazite,2018-01-01,0
Kelantan,metallic,monazite,2019-01-01,0
Kelantan,metallic,monazite,2020-01-01,0
Kelantan,metallic,monazite,2021-01-01,0
Kelantan,metallic,rutile,2016-01-01,0
Kelantan,metallic,rutile,2017-01-01,0
Kelantan,metallic,rutile,2018-01-01,0
Kelantan,metallic,rutile,2019-01-01,0
Kelantan,metallic,rutile,2020-01-01,0
Kelantan,metallic,rutile,2021-01-01,0
Kelantan,metallic,silver,2016-01-01,0
Kelantan,metallic,silver,2017-01-01,1275001
Kelantan,metallic,silver,2018-01-01,1439527
Kelantan,metallic,silver,2019-01-01,670348
Kelantan,metallic,silver,2020-01-01,422506
Kelantan,metallic,silver,2021-01-01,672417
Kelantan,metallic,struverite,2016-01-01,0
Kelantan,metallic,struverite,2017-01-01,0
Kelantan,metallic,struverite,2018-01-01,0
Kelantan,metallic,struverite,2019-01-01,0
Kelantan,metallic,struverite,2020-01-01,0
Kelantan,metallic,struverite,2021-01-01,0
Kelantan,metallic,tin_ore,2016-01-01,0
Kelantan,metallic,tin_ore,2017-01-01,0
Kelantan,metallic,tin_ore,2018-01-01,0
Kelantan,metallic,tin_ore,2019-01-01,0
Kelantan,metallic,tin_ore,2020-01-01,0
Kelantan,metallic,tin_ore,2021-01-01,0
Kelantan,metallic,xenotime,2016-01-01,0
Kelantan,metallic,xenotime,2017-01-01,0
Kelantan,metallic,xenotime,2018-01-01,0
Kelantan,metallic,xenotime,2019-01-01,0
Kelantan,metallic,xenotime,2020-01-01,0
Kelantan,metallic,xenotime,2021-01-01,0
Kelantan,metallic,zircon,2016-01-01,0
Kelantan,metallic,zircon,2017-01-01,0
Kelantan,metallic,zircon,2018-01-01,0
Kelantan,metallic,zircon,2019-01-01,0
Kelantan,metallic,zircon,2020-01-01,0
Kelantan,metallic,zircon,2021-01-01,0
Kelantan,non_metallic,aggregates,2016-01-01,2939366
Kelantan,non_metallic,aggregates,2017-01-01,2769021
Kelantan,non_metallic,aggregates,2018-01-01,2669783
Kelantan,non_metallic,aggregates,2019-01-01,2680870
Kelantan,non_metallic,aggregates,2020-01-01,2680240
Kelantan,non_metallic,aggregates,2021-01-01,2632006
Kelantan,non_metallic,clay,2016-01-01,20124
Kelantan,non_metallic,clay,2017-01-01,11750
Kelantan,non_metallic,clay,2018-01-01,0
Kelantan,non_metallic,clay,2019-01-01,0
Kelantan,non_metallic,clay,2020-01-01,0
Kelantan,non_metallic,clay,2021-01-01,134187
Kelantan,non_metallic,earth_materials,2016-01-01,132150
Kelantan,non_metallic,earth_materials,2017-01-01,975969
Kelantan,non_metallic,earth_materials,2018-01-01,1377976
Kelantan,non_metallic,earth_materials,2019-01-01,883323
Kelantan,non_metallic,earth_materials,2020-01-01,1167796
Kelantan,non_metallic,earth_materials,2021-01-01,1828481
Kelantan,non_metallic,feldspar,2016-01-01,328106
Kelantan,non_metallic,feldspar,2017-01-01,286997
Kelantan,non_metallic,feldspar,2018-01-01,309920
Kelantan,non_metallic,feldspar,2019-01-01,157444
Kelantan,non_metallic,feldspar,2020-01-01,62387
Kelantan,non_metallic,feldspar,2021-01-01,103701
Kelantan,non_metallic,kaolin,2016-01-01,0
Kelantan,non_metallic,kaolin,2017-01-01,0
Kelantan,non_metallic,kaolin,2018-01-01,0
Kelantan,non_metallic,kaolin,2019-01-01,0
Kelantan,non_metallic,kaolin,2020-01-01,0
Kelantan,non_metallic,kaolin,2021-01-01,0
Kelantan,non_metallic,limestone,2016-01-01,0
Kelantan,non_metallic,limestone,2017-01-01,101926
Kelantan,non_metallic,limestone,2018-01-01,0
Kelantan,non_metallic,limestone,2019-01-01,0
Kelantan,non_metallic,limestone,2020-01-01,0
Kelantan,non_metallic,limestone,2021-01-01,0
Kelantan,non_metallic,mica,2016-01-01,0
Kelantan,non_metallic,mica,2017-01-01,0
Kelantan,non_metallic,mica,2018-01-01,0
Kelantan,non_metallic,mica,2019-01-01,0
Kelantan,non_metallic,mica,2020-01-01,0
Kelantan,non_metallic,mica,2021-01-01,0
Kelantan,non_metallic,sand_and_gravel,2016-01-01,455141
Kelantan,non_metallic,sand_and_gravel,2017-01-01,1786218
Kelantan,non_metallic,sand_and_gravel,2018-01-01,2556201
Kelantan,non_metallic,sand_and_gravel,2019-01-01,1056612
Kelantan,non_metallic,sand_and_gravel,2020-01-01,1152009
Kelantan,non_metallic,sand_and_gravel,2021-01-01,1672866
Kelantan,non_metallic,silica,2016-01-01,0
Kelantan,non_metallic,silica,2017-01-01,0
Kelantan,non_metallic,silica,2018-01-01,0
Kelantan,non_metallic,silica,2019-01-01,0
Kelantan,non_metallic,silica,2020-01-01,0
Kelantan,non_metallic,silica,2021-01-01,0
Melaka,energy,coal,2016-01-01,0
Melaka,energy,coal,2017-01-01,0
Melaka,energy,coal,2018-01-01,0
Melaka,energy,coal,2019-01-01,0
Melaka,energy,coal,2020-01-01,0
Melaka,energy,coal,2021-01-01,0
Melaka,metallic,bauxite,2016-01-01,0
Melaka,metallic,bauxite,2017-01-01,0
Melaka,metallic,bauxite,2018-01-01,0
Melaka,metallic,bauxite,2019-01-01,0
Melaka,metallic,bauxite,2020-01-01,0
Melaka,metallic,bauxite,2021-01-01,0
Melaka,metallic,gold,2016-01-01,0
Melaka,metallic,gold,2017-01-01,0
Melaka,metallic,gold,2018-01-01,0
Melaka,metallic,gold,2019-01-01,0
Melaka,metallic,gold,2020-01-01,0
Melaka,metallic,gold,2021-01-01,0
Melaka,metallic,ilmenite,2016-01-01,0
Melaka,metallic,ilmenite,2017-01-01,0
Melaka,metallic,ilmenite,2018-01-01,0
Melaka,metallic,ilmenite,2019-01-01,0
Melaka,metallic,ilmenite,2020-01-01,0
Melaka,metallic,ilmenite,2021-01-01,0
Melaka,metallic,iron_ore,2016-01-01,0
Melaka,metallic,iron_ore,2017-01-01,0
Melaka,metallic,iron_ore,2018-01-01,0
Melaka,metallic,iron_ore,2019-01-01,0
Melaka,metallic,iron_ore,2020-01-01,0
Melaka,metallic,iron_ore,2021-01-01,0
Melaka,metallic,manganese,2016-01-01,0
Melaka,metallic,manganese,2017-01-01,0
Melaka,metallic,manganese,2018-01-01,0
Melaka,metallic,manganese,2019-01-01,0
Melaka,metallic,manganese,2020-01-01,0
Melaka,metallic,manganese,2021-01-01,0
Melaka,metallic,monazite,2016-01-01,0
Melaka,metallic,monazite,2017-01-01,0
Melaka,metallic,monazite,2018-01-01,0
Melaka,metallic,monazite,2019-01-01,0
Melaka,metallic,monazite,2020-01-01,0
Melaka,metallic,monazite,2021-01-01,0
Melaka,metallic,rutile,2016-01-01,0
Melaka,metallic,rutile,2017-01-01,0
Melaka,metallic,rutile,2018-01-01,0
Melaka,metallic,rutile,2019-01-01,0
Melaka,metallic,rutile,2020-01-01,0
Melaka,metallic,rutile,2021-01-01,0
Melaka,metallic,silver,2016-01-01,0
Melaka,metallic,silver,2017-01-01,0
Melaka,metallic,silver,2018-01-01,0
Melaka,metallic,silver,2019-01-01,0
