date_reg,type,maker,colour,fuel,state
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Negeri Sembilan
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,red,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Melaka
2003-01-02,motosikal,Honda,blue,petrol,Melaka
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Sarawak
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Kelantan
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Melaka
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Terengganu
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Terengganu
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Kelantan
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,Melaka
2003-01-02,motosikal,Honda,black,petrol,Melaka
2003-01-02,motosikal,Honda,red,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,red,petrol,Melaka
2003-01-02,motosikal,Honda,blue,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Sarawak
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Negeri Sembilan
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,red,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,red,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Sarawak
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Kelantan
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,red,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Pahang
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Negeri Sembilan
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Terengganu
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,black,petrol,Kedah
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Perak
2003-01-02,motosikal,Honda,black,petrol,Perak
2003-01-02,motosikal,Honda,red,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,red,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,blue,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Kelantan
2003-01-02,motosikal,Honda,black,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Pulau Pinang
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,black,petrol,W.P. Kuala Lumpur
2003-01-02,motosikal,Honda,black,petrol,Pahang
2003-01-02,motosikal,Honda,black,petrol,Johor
2003-01-02,motosikal,Honda,blue,petrol,Selangor
2003-01-02,motosikal,Honda,blue,petrol,Negeri Sembilan
2003-01-02,motosikal,Honda,blue,petrol,Kedah
2003-01-02,motosikal,Honda,black,petrol,Pulau Pinang
